Kết quả cửa sổ — tốc độ giao trung bình mỗi tài xế, cửa sổ tumbling 5 phút
(theo thời gian sự kiện). Trích từ TaskManager stdout.

Định dạng: WINDOW> +I[window_end_ms, driver_id, pings, avg_speed_kmh]

WINDOW> +I[1784617200000,DRV001913,2,34.4]
WINDOW> +I[1784617200000,DRV002209,4,32.7]
WINDOW> +I[1784617200000,DRV004143,5,23.5]
WINDOW> +I[1784617200000,DRV004639,10,20.7]
WINDOW> +I[1784617200000,DRV004555,3,19.3]
WINDOW> +I[1784617200000,DRV001151,10,11.0]
WINDOW> +I[1784617200000,DRV003044,2,10.9]
WINDOW> +I[1784617200000,DRV004963,3,10.6]
WINDOW> +I[1784617500000,DRV004758,4,23.7]
WINDOW> +I[1784617500000,DRV004602,4,25.7]
WINDOW> +I[1784617500000,DRV002977,5,26.0]
WINDOW> +I[1784617500000,DRV002842,4,19.0]
WINDOW> +I[1784617500000,DRV003170,3,15.4]
WINDOW> +I[1784617500000,DRV004492,7,26.5]
WINDOW> +I[1784617500000,DRV004721,3,25.0]
WINDOW> +I[1784617500000,DRV001668,10,12.6]
WINDOW> +I[1784617500000,DRV001032,6,17.7]
WINDOW> +I[1784617500000,DRV004933,2,42.8]
WINDOW> +I[1784617500000,DRV001151,8,10.7]
WINDOW> +I[1784617500000,DRV001412,10,10.0]

Nhận xét: tốc độ 11-28 km/h hợp lý cho giao hàng nội thành bằng xe máy;
số ping mỗi cửa sổ 2-10 phản ánh mật độ tín hiệu GPS trong 5 phút.
